DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
9/16/2021,1178168,6474,932567,4656,245601,1818,1066391,8562394,9628785,28367,52,14341,-1842,71331,8264,1092496,11,32421,14332,8
9/15/2021,1171694,4593,927911,2911,243783,1682,1061253,8539165,9600418,16986,65,14289,-4129,73173,8657,1084232,19,32410,14324,29
9/14/2021,1167101,7417,925000,4985,242101,2432,1058020,8525412,9583432,28526,87,14224,-2405,77302,9735,1075575,21,32391,14295,37
9/13/2021,1159684,5685,920015,3373,239669,2312,1052382,8502524,9554906,20461,128,14137,-5864,79707,11421,1065840,30,32370,14258,50
9/12/2021,1153999,3451,916642,2896,237357,555,1048636,8485809,9534445,18656,34,14009,-508,85571,3925,1054419,4,32340,14208,31
9/11/2021,1150548,11325,913746,8190,236802,3135,1045344,8470445,9515789,50073,28,13975,6963,86079,4334,1050494,27,32336,14177,42
9/10/2021,1139223,15104,905556,10628,233667,4476,1036183,8429533,9465716,60492,58,13947,6607,79116,8439,1046160,57,32309,14135,28
9/9/2021,1124119,5173,894928,2832,229191,2341,1024308,8380916,9405224,16930,11,13889,-4502,72509,9664,1037721,17,32252,14107,34
9/8/2021,1118946,4493,892096,3193,226850,1300,1021190,8367104,9388294,16634,75,13878,-4999,77011,9417,1028057,39,32235,14073,33
9/7/2021,1114453,5350,888903,3618,225550,1732,1017649,8354011,9371660,18965,85,13803,-5525,82010,10790,1018640,40,32196,14040,29
9/6/2021,1109103,13089,885285,10451,223818,2638,1013657,8339038,9352695,64397,24,13718,2337,87535,10728,1007850,51,32156,14011,40
9/5/2021,1096014,11400,874834,8045,221180,3355,1001924,8286374,9288298,50049,11,13694,7535,85198,3854,997122,30,32105,13971,44
9/4/2021,1084614,9051,866789,6506,217825,2545,993015,8245234,9238249,39238,14,13683,4665,77663,4372,993268,35,32075,13927,39
9/3/2021,1075563,4792,860283,3304,215280,1488,985677,8213334,9199011,16828,41,13669,-2769,72998,7520,988896,36,32040,13888,33
9/2/2021,1070771,6565,856979,4250,213792,2315,982019,8200164,9182183,21729,75,13628,-1694,75767,8184,981376,60,32004,13855,46
9/1/2021,1064206,3290,852729,2031,211477,1259,977357,8183097,9160454,8666,36,13553,-3899,77461,7153,973192,40,31944,13809,51
8/31/2021,1060916,9440,850698,6183,210218,3257,975200,8176588,9151788,35325,32,13517,1167,81360,8241,966039,146,31904,13758,52
8/30/2021,1051476,9875,844515,7459,206961,2416,968341,8148122,9116463,43400,57,13485,1702,80193,8116,957798,118,31758,13706,45
8/29/2021,1041601,6473,837056,5242,204545,1231,960023,8113040,9073063,30916,21,13428,3297,78491,3155,949682,93,31640,13661,38
8/28/2021,1035128,6189,831814,4408,203314,1781,954186,8087961,9042147,25327,16,13407,2850,75194,3323,946527,73,31547,13623,42
8/27/2021,1028939,7869,827406,6020,201533,1849,949325,8067495,9016820,31848,51,13391,2749,72344,5069,943204,81,31474,13581,42
8/26/2021,1021070,7476,821386,4956,199684,2520,942856,8042116,8984972,30194,40,13340,1776,69595,5660,938135,86,31393,13539,37
8/25/2021,1013594,6576,816430,3719,197164,2857,937386,8017392,8954778,20594,49,13300,1496,67819,5031,932475,83,31307,13502,50
8/24/2021,1007018,4583,812711,3093,194307,1490,933373,8000811,8934184,15490,23,13251,-984,66323,5544,927444,68,31224,13452,37
8/23/2021,1002435,5154,809618,2870,192817,2284,930028,7988666,8918694,15836,32,13228,-420,67307,5542,921900,67,31156,13415,27
8/22/2021,997281,4059,806748,3767,190533,292,926916,7975942,8902858,23265,25,13196,1373,67727,2661,916358,43,31089,13388,32
8/21/2021,993222,9807,802981,6805,190241,3002,922653,7956940,8879593,42193,12,13171,7289,66354,2506,913697,95,31046,13356,29
8/20/2021,983415,6390,796176,4973,187239,1417,915172,7922228,8837400,27837,25,13159,2634,59065,3731,911191,76,30951,13327,46
8/19/2021,977025,7144,791203,4491,185822,2653,909837,7899726,8809563,31999,46,13134,2967,56431,4131,907460,74,30875,13281,35
8/18/2021,969881,6524,786712,4353,183169,2171,904963,7872601,8777564,27181,51,13088,2854,53464,3619,903329,65,30801,13246,35
8/17/2021,963357,5404,782359,3891,180998,1513,900090,7850293,8750383,24063,27,13037,1536,50610,3841,899710,52,30736,13211,37
8/16/2021,957953,3707,778468,2285,179485,1422,895717,7830603,8726320,13985,32,13010,-159,49074,3834,895869,58,30684,13174,26
8/15/2021,954246,2779,776183,2295,178063,484,893167,7819168,8712335,14044,19,12978,761,49233,1999,892035,30,30626,13148,25
8/14/2021,951467,4868,773888,3658,177579,1210,890541,7807750,8698291,24156,4,12959,2983,48472,1881,890036,54,30596,13123,29
8/13/2021,946599,5549,770230,3964,176369,1585,886387,7787748,8674135,25887,22,12955,2848,45489,2679,888155,65,30542,13094,34
8/12/2021,941050,4615,766266,3498,174784,1117,881990,7766258,8648248,22313,29,12933,1784,42641,2802,885476,102,30477,13060,24
8/11/2021,936435,5601,762768,3892,173667,1709,878070,7747865,8625935,25841,20,12904,2935,40857,2646,882674,147,30375,13036,23
8/10/2021,930834,4091,758876,2595,171958,1496,873799,7726295,8600094,16273,7,12884,1560,37922,2524,880028,95,30228,13013,19
8/9/2021,926743,3641,756281,2329,170462,1312,870910,7712911,8583821,13625,41,12877,1177,36362,2423,877504,102,30133,12994,30
8/8/2021,923102,2159,753952,1589,169150,570,868340,7701856,8570196,11105,6,12836,896,35185,1257,875081,67,30031,12964,26
8/7/2021,920943,2590,752363,1987,168580,603,866488,7692603,8559091,14497,3,12830,1286,34289,1301,873824,69,29964,12938,21
8/6/2021,918353,4533,750376,3221,167977,1312,864199,7680395,8544594,21574,8,12827,2955,33003,1570,872523,117,29895,12917,27
8/5/2021,913820,3924,747155,2929,166665,995,860615,7662405,8523020,20140,29,12819,2323,30048,1572,870953,96,29778,12890,10
8/4/2021,909896,3245,744226,2499,165670,746,857360,7645520,8502880,17688,15,12790,1748,27725,1482,869381,105,29682,12880,8
8/3/2021,906651,3749,741727,2614,164924,1135,854556,7630636,8485192,17479,9,12775,2375,25977,1365,867899,98,29577,12872,17
8/2/2021,902902,2694,739113,1791,163789,903,851684,7616029,8467713,11337,16,12766,1292,23602,1386,866534,101,29479,12855,15
8/1/2021,900208,1693,737322,1339,162886,354,849743,7606633,8456376,9802,9,12750,948,22310,736,865148,67,29378,12840,10
7/31/2021,898515,2033,735983,1503,162532,530,848229,7598345,8446574,11003,9,12741,1318,21362,706,864412,86,29311,12830,16
7/30/2021,896482,3102,734480,2386,162002,716,846533,7589038,8435571,16384,8,12732,2263,20044,831,863706,95,29225,12814,7
7/29/2021,893380,2310,732094,1629,161286,681,843915,7575272,8419187,12932,2,12724,1557,17781,751,862875,61,29130,12807,13
7/28/2021,891070,2668,730465,1889,160605,779,842160,7564095,8406255,14876,8,12722,1833,16224,827,862124,81,29069,12794,11
7/27/2021,888402,2273,728576,1466,159826,807,840090,7551289,8391379,11507,12,12714,1544,14391,717,861297,71,28988,12783,15
7/26/2021,886129,2125,727110,1369,159019,756,838491,7541381,8379872,9639,20,12702,1370,12847,735,860580,94,28917,12768,11
7/25/2021,884004,864,725741,718,158263,146,837035,7533198,8370233,6236,11,12682,397,11477,456,859845,26,28823,12757,11
7/24/2021,883140,1269,725023,918,158117,351,836243,7527754,8363997,8409,3,12671,770,11080,496,859389,53,28797,12746,7
7/23/2021,881871,1561,724105,1093,157766,468,835221,7520367,8355588,10510,3,12668,1045,10310,513,858893,63,28744,12739,18
7/22/2021,880310,1544,723012,1089,157298,455,834043,7511035,8345078,11779,7,12665,1007,9265,530,858380,60,28681,12721,7
