DATE,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_ACTIVE,TOTAL_ACTIVE,NEW_INACTIVE_RECOVERED,TOTAL_INACTIVE_RECOVERED,NEW_HOSP,TOTAL_HOSP,TOTAL_DEATHS_BY_DOD,NEW_DEATHS_BY_DOD
6/10/2021,865085,244,712440,173,152645,71,821587,7244435,8066022,8654,3,12498,-59,2519,300,850068,3,22126,12492,0
6/9/2021,864841,222,712267,153,152574,69,821359,7236009,8057368,10891,2,12495,-77,2578,297,849768,2,22123,12492,2
6/8/2021,864619,291,712114,190,152505,101,821157,7225320,8046477,7499,2,12493,-71,2655,360,849471,14,22121,12490,5
6/7/2021,864328,273,711924,155,152404,118,820956,7218022,8038978,6040,13,12491,-149,2726,409,849111,14,22107,12485,1
6/6/2021,864055,108,711769,84,152286,24,820756,7212182,8032938,4289,-1,12478,-111,2875,220,848702,3,22093,12484,1
6/5/2021,863947,168,711685,113,152262,55,820665,7207984,8028649,5909,3,12479,-166,2986,331,848482,7,22090,12483,6
6/4/2021,863779,312,711572,213,152207,99,820534,7202206,8022740,9709,1,12476,-81,3152,392,848151,10,22083,12477,2
6/3/2021,863467,328,711359,225,152108,103,820281,7192750,8013031,11962,5,12475,-130,3233,453,847759,13,22073,12475,3
6/2/2021,863139,370,711134,253,152005,117,820002,7181067,8001069,9503,7,12470,-90,3363,453,847306,12,22060,12472,5
6/1/2021,862769,427,710881,279,151888,148,819718,7171848,7991566,6871,9,12463,-59,3453,477,846853,23,22048,12467,3
5/31/2021,862342,189,710602,130,151740,59,819408,7165287,7984695,4081,11,12454,-367,3512,545,846376,6,22025,12464,6
5/30/2021,862153,183,710472,130,151681,53,819251,7161363,7980614,4738,0,12443,-215,3879,398,845831,9,22019,12458,6
5/29/2021,861970,192,710342,135,151628,57,819097,7156779,7975876,5746,2,12443,-230,4094,420,845433,14,22010,12452,3
5/28/2021,861778,326,710207,246,151571,80,818905,7151225,7970130,9628,3,12441,-178,4324,501,845013,4,21996,12449,6
5/27/2021,861452,401,709961,268,151491,133,818612,7141890,7960502,10652,12,12438,-239,4502,628,844512,15,21992,12443,5
5/26/2021,861051,515,709693,375,151358,140,818291,7131559,7949850,12251,22,12426,-94,4741,587,843884,20,21977,12438,8
5/25/2021,860536,433,709318,287,151218,146,817865,7119734,7937599,9271,6,12404,-179,4835,606,843297,14,21957,12430,8
5/24/2021,860103,461,709031,320,151072,141,817556,7110772,7928328,7868,7,12398,-325,5014,779,842691,20,21943,12422,3
5/23/2021,859642,259,708711,192,150931,67,817185,7103275,7920460,5387,6,12391,-229,5339,482,841912,9,21923,12419,7
5/22/2021,859383,313,708519,231,150864,82,816950,7098123,7915073,7490,3,12385,-166,5568,476,841430,14,21914,12412,4
5/21/2021,859070,528,708288,353,150782,175,816646,7090937,7907583,10232,4,12382,-155,5734,679,840954,15,21900,12408,9
5/20/2021,858542,553,707935,393,150607,160,816250,7081101,7897351,24052,16,12378,-222,5889,759,840275,21,21885,12399,10
5/19/2021,857989,639,707542,467,150447,172,815783,7057516,7873299,13946,11,12362,-182,6111,810,839516,27,21864,12389,9
5/18/2021,857350,573,707075,390,150275,183,815238,7044115,7859353,10639,14,12351,-280,6293,839,838706,22,21837,12380,7
5/17/2021,856777,660,706685,393,150092,267,814803,7033911,7848714,9135,12,12337,-314,6573,962,837867,20,21815,12373,10
5/16/2021,856117,276,706292,201,149825,75,814338,7025241,7839579,5291,4,12325,-274,6887,546,836905,16,21795,12363,10
5/15/2021,855841,402,706091,293,149750,109,814087,7020201,7834288,8622,1,12321,-219,7161,620,836359,13,21779,12353,7
5/14/2021,855439,808,705798,590,149641,218,813697,7011969,7825666,12082,10,12320,62,7380,736,835739,31,21766,12346,12
5/13/2021,854631,712,705208,479,149423,233,813027,7000557,7813584,12385,7,12310,-179,7318,884,835003,20,21735,12334,5
5/12/2021,853919,901,704729,651,149190,250,812476,6988723,7801199,17233,9,12303,-37,7497,929,834119,31,21715,12329,10
5/11/2021,853018,847,704078,611,148940,236,811657,6972309,7783966,11470,4,12294,-155,7534,998,833190,31,21684,12319,6
5/10/2021,852171,628,703467,382,148704,246,811018,6961478,7772496,7514,17,12290,-582,7689,1193,832192,30,21653,12313,10
5/9/2021,851543,376,703085,283,148458,93,810583,6954399,7764982,6858,19,12273,-334,8271,691,830999,20,21623,12303,8
5/8/2021,851167,559,702802,398,148365,161,810255,6947869,7758124,10281,0,12254,-84,8605,643,830308,15,21603,12295,10
5/7/2021,850608,1033,702404,739,148204,294,809746,6938097,7747843,14990,2,12254,68,8689,963,829665,26,21588,12285,8
5/6/2021,849575,790,701665,546,147910,244,808899,6923954,7732853,11570,11,12252,-287,8621,1066,828702,24,21562,12277,13
5/5/2021,848785,1208,701119,765,147666,443,808266,6913017,7721283,17611,16,12241,221,8908,971,827636,37,21538,12264,12
5/4/2021,847577,853,700354,601,147223,252,807393,6896279,7703672,12159,11,12225,-308,8687,1150,826665,30,21501,12252,9
5/3/2021,846724,655,699753,450,146971,205,806700,6884813,7691513,8381,13,12214,-639,8995,1281,825515,31,21471,12243,6
5/2/2021,846069,498,699303,374,146766,124,806179,6876953,7683132,7356,1,12201,-226,9634,723,824234,23,21440,12237,11
5/1/2021,845571,609,698929,449,146642,160,805744,6870032,7675776,10355,-1,12200,-131,9860,741,823511,24,21417,12226,7
4/30/2021,844962,1071,698480,772,146482,299,805253,6860168,7665421,14921,7,12201,10,9991,1054,822770,29,21393,12219,10
